make,model,model_year,range_mi,recharge_time,vehicle_class
Tesla,Model X 60D,2016,200.05859999999998,10.0,Sport utility vehicle: Standard
Tesla,Model X 75D,2016,237.9579,12.0,Sport utility vehicle: Standard
Tesla,Model X 90D,2016,257.21819999999997,12.0,Sport utility vehicle: Standard
Tesla,Model X P90D,2016,249.7626,12.0,Sport utility vehicle: Standard
Tesla,Model X P100D,2016,288.9045,12.0,Sport utility vehicle: Standard
BMW,i3 (60 Ah),2017,80.76899999999999,4.0,Subcompact
BMW,i3 (94 Ah),2017,113.69789999999999,5.0,Subcompact
Chevrolet,Bolt EV,2017,237.9579,9.3,Station wagon: Small
Ford,Focus Electric,2017,114.9405,5.5,Compact
Hyundai,IONIQ Electric,2017,124.25999999999999,4.0,Mid-size
Kia,Soul EV,2017,93.195,4.0,Station wagon: Small
Mitsubishi,i-MiEV,2017,62.129999999999995,7.0,Subcompact
Nissan,LEAF,2017,106.86359999999999,6.0,Mid-size
Tesla,Model S (60 kWh),2017,209.99939999999998,10.0,Full-size
Tesla,Model S (75 kWh),2017,249.14129999999997,12.0,Full-size
Tesla,Model S 60D,2017,218.07629999999997,10.0,Full-size
Tesla,Model S 75D,2017,259.08209999999997,12.0,Full-size
Tesla,Model S 90D,2017,293.87489999999997,12.0,Full-size
Tesla,Model S 100D,2017,334.8807,12.0,Full-size
Tesla,Model S P90D,2017,270.2655,12.0,Full-size
Tesla,Model S P100D,2017,314.9991,12.0,Full-size
Tesla,Model X 60D,2017,200.05859999999998,10.0,Sport utility vehicle: Standard
Tesla,Model X 75D,2017,237.9579,12.0,Sport utility vehicle: Standard
Tesla,Model X 90D,2017,257.21819999999997,12.0,Sport utility vehicle: Standard
Tesla,Model X 100D,2017,295.1175,12.0,Sport utility vehicle: Standard
Tesla,Model X P90D,2017,249.7626,12.0,Sport utility vehicle: Standard
Tesla,Model X P100D,2017,288.9045,12.0,Sport utility vehicle: Standard
Volkswagen,e-Golf,2017,124.8813,5.3,Compact
BMW,i3,2018,113.69789999999999,5.0,Subcompact
BMW,i3s,2018,106.86359999999999,5.0,Subcompact
Chevrolet,Bolt EV,2018,237.9579,9.3,Station wagon: Small
Ford,Focus Electric,2018,114.9405,5.5,Compact
Hyundai,IONIQ Electric,2018,124.25999999999999,4.0,Mid-size
Kia,Soul EV,2018,111.2127,5.0,Station wagon: Small
Nissan,LEAF,2018,150.3546,8.0,Mid-size
smart,fortwo electric drive cabriolet,2018,57.1596,3.0,Two-seater
smart,fortwo electric drive coupe,2018,57.780899999999995,3.0,Two-seater
Tesla,Model 3 Mid Range,2018,259.7034,10.0,Mid-size
Tesla,Model 3 Long Range,2018,310.02869999999996,10.0,Mid-size
Tesla,Model 3 Long Range AWD,2018,310.02869999999996,10.0,Mid-size
Tesla,Model 3 Long Range AWD Performance,2018,310.02869999999996,10.0,Mid-size
Tesla,Model S (75 kWh),2018,249.14129999999997,12.0,Full-size
Tesla,Model S 75D,2018,259.08209999999997,12.0,Full-size
Tesla,Model S 100D,2018,334.8807,12.0,Full-size
Tesla,Model S P100D,2018,314.9991,12.0,Full-size
Tesla,Model X 75D,2018,237.9579,12.0,Sport utility vehicle: Standard
Tesla,Model X 100D,2018,295.1175,12.0,Sport utility vehicle: Standard
Tesla,Model X P100D,2018,288.9045,12.0,Sport utility vehicle: Standard
Volkswagen,e-Golf,2018,124.8813,5.3,Compact
Audi,e-tron 55 quattro,2019,204.40769999999998,10.0,Sport utility vehicle: Standard
BMW,i3 (120 Ah),2019,152.8398,7.0,Subcompact
BMW,i3s (120 Ah),2019,152.8398,7.0,Subcompact
Chevrolet,Bolt EV,2019,237.9579,9.3,Station wagon: Small
Hyundai,IONIQ Electric,2019,124.25999999999999,4.0,Mid-size
Hyundai,Kona Electric,2019,257.8395,9.0,Sport utility vehicle: Small
Jaguar,I-PACE,2019,234.2301,13.0,Sport utility vehicle: Small
Kia,Niro EV,2019,239.20049999999998,9.5,Station wagon: Small
Kia,Soul EV,2019,111.2127,5.0,Station wagon: Small
Nissan,LEAF (40 kWh),2019,150.9759,8.0,Mid-size
Nissan,LEAF S PLUS,2019,225.53189999999998,11.0,Mid-size
Nissan,LEAF SV/SL PLUS,2019,216.8337,11.0,Mid-size
Tesla,Model 3 Standard Range,2019,93.8163,3.7,Mid-size
Tesla,Model 3 Standard Range Plus,2019,239.8218,8.5,Mid-size
Tesla,Model 3 Mid Range,2019,264.0525,10.0,Mid-size
Tesla,Model 3 Long Range,2019,310.02869999999996,10.0,Mid-size
Tesla,Model 3 Long Range AWD,2019,310.02869999999996,10.0,Mid-size
Tesla,Model 3 Long Range AWD Performance,2019,310.02869999999996,10.0,Mid-size
Tesla,Model S 75D,2019,259.08209999999997,12.0,Full-size
Tesla,Model S 100D,2019,334.8807,12.0,Full-size
Tesla,Model S P100D,2019,314.9991,12.0,Full-size
Tesla,Model S Standard Range,2019,285.1767,9.0,Full-size
Tesla,Model S Long Range,2019,369.6735,12.0,Full-size
Tesla,"Model S Performance (19"" Wheels)",2019,344.82149999999996,12.0,Full-size
Tesla,"Model S Performance (21"" Wheels)",2019,324.93989999999997,12.0,Full-size
Tesla,Model X 75D,2019,237.9579,12.0,Sport utility vehicle: Standard
Tesla,Model X 100D,2019,295.1175,12.0,Sport utility vehicle: Standard
Tesla,Model X P100D,2019,288.9045,12.0,Sport utility vehicle: Standard
Tesla,Model X Standard Range,2019,254.73299999999998,9.0,Sport utility vehicle: Standard
Tesla,Model X Long Range,2019,324.93989999999997,12.0,Sport utility vehicle: Standard
Tesla,"Model X Performance (20"" Wheels)",2019,305.0583,12.0,Sport utility vehicle: Standard
Tesla,"Model X Performance (22"" Wheels)",2019,270.2655,12.0,Sport utility vehicle: Standard
Volkswagen,e-Golf,2019,124.8813,5.3,Compact
Audi,e-tron Sportback 55 quattro,2020,218.07629999999997,10.0,Sport utility vehicle: Standard
BMW,i3 (120 Ah),2020,152.8398,7.0,Subcompact
BMW,i3s (120 Ah),2020,152.8398,7.0,Subcompact
Chevrolet,Bolt EV,2020,259.08209999999997,10.0,Station wagon: Small
Hyundai,IONIQ Electric,2020,170.2362,5.8,Mid-size
Hyundai,Kona Electric,2020,257.8395,9.0,Sport utility vehicle: Small
Jaguar,I-PACE,2020,234.2301,13.0,Sport utility vehicle: Small
Kia,Niro EV,2020,239.20049999999998,9.5,Station wagon: Small
Kia,Soul EV (120 Ah),2020,154.08239999999998,6.0,Station wagon: Small
Kia,Soul EV (180 Ah),2020,237.9579,9.5,Station wagon: Small
MINI,Cooper SE 3 Door,2020,109.97009999999999,4.0,Subcompact
Nissan,LEAF (40 kWh),2020,149.112,8.0,Mid-size
Nissan,LEAF S PLUS,2020,225.53189999999998,11.0,Mid-size
Nissan,LEAF SV/SL PLUS,2020,216.8337,11.0,Mid-size
Porsche,Taycan 4S (Performance Battery Plus),2020,203.1651,10.5,Compact
Porsche,Taycan Turbo,2020,200.67989999999998,10.0,Compact
Porsche,Taycan Turbo S,2020,191.9817,10.5,Compact
Tesla,Model 3 Standard Range,2020,93.8163,3.7,Mid-size
Tesla,Model 3 Standard Range Plus,2020,249.7626,8.5,Mid-size
Tesla,Model 3 Mid Range,2020,264.0525,10.0,Mid-size
Tesla,Model 3 Long Range,2020,329.9103,10.0,Mid-size
Tesla,Model 3 Long Range AWD,2020,321.8334,10.0,Mid-size
Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",2020,321.8334,10.0,Mid-size
Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",2020,303.8157,10.0,Mid-size
Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",2020,298.8453,10.0,Mid-size
Tesla,Model S Standard Range,2020,287.0406,9.0,Full-size
Tesla,Model S Long Range,2020,372.78,12.0,Full-size
Tesla,Model S Long Range Plus (pre-15/6/20),2020,390.79769999999996,12.0,Full-size
Tesla,Model S Long Range Plus,2020,401.98109999999997,12.0,Full-size
Tesla,"Model S Performance (19"" Wheels)",2020,347.928,12.0,Full-size
Tesla,"Model S Performance (21"" Wheels)",2020,326.1825,12.0,Full-size
Tesla,Model X Standard Range,2020,257.8395,9.0,Sport utility vehicle: Standard
Tesla,Model X Long Range,2020,328.0464,12.0,Sport utility vehicle: Standard
Tesla,Model X Long Range Plus,2020,351.0345,12.0,Sport utility vehicle: Standard
Tesla,"Model X Performance (20"" Wheels)",2020,305.0583,12.0,Sport utility vehicle: Standard
Tesla,"Model X Performance (22"" Wheels)",2020,272.1294,12.0,Sport utility vehicle: Standard
Tesla,Model Y Long Range AWD,2020,316.2417,10.0,Sport utility vehicle: Small
Tesla,Model Y Performance,2020,314.9991,10.0,Sport utility vehicle: Small
Tesla,"Model Y Performance (21"" Wheels)",2020,290.7684,10.0,Sport utility vehicle: Small
Volkswagen,e-Golf,2020,123.0174,5.3,Compact
Audi,e-tron 55 quattro,2021,221.80409999999998,10.0,Sport utility vehicle: Standard
Audi,e-tron Sportback 55 quattro,2021,218.07629999999997,10.0,Sport utility vehicle: Standard
BMW,i3 (120 Ah),2021,152.8398,7.0,Subcompact
BMW,i3s (120 Ah),2021,152.8398,7.0,Subcompact
Chevrolet,Bolt EV,2021,259.08209999999997,10.0,Station wagon: Small
Ford,Mustang Mach-E Standard Range,2021,229.881,8.8,Station wagon: Small
Ford,Mustang Mach-E Standard Range AWD,2021,211.242,8.5,Station wagon: Small
Ford,"Mustang Mach-E Extended Range (19"" Wheels)",2021,300.0879,10.9,Station wagon: Small
Ford,Mustang Mach-E Extended Range AWD,2021,270.2655,10.7,Station wagon: Small
Ford,Mustang Mach-E California Route 1,2021,305.0583,11.4,Station wagon: Small
Ford,Mustang Mach-E GT Performance Edition,2021,259.7034,10.1,Station wagon: Small
Hyundai,IONIQ Electric,2021,170.2362,5.8,Mid-size
Hyundai,Kona Electric,2021,257.8395,9.0,Sport utility vehicle: Small
Kia,Niro EV,2021,239.20049999999998,9.5,Station wagon: Small
Kia,Soul EV (120 Ah),2021,154.08239999999998,6.0,Station wagon: Small
Kia,Soul EV (180 Ah),2021,237.9579,9.5,Station wagon: Small
MINI,Cooper SE 3 Door,2021,109.97009999999999,4.0,Subcompact
Nissan,LEAF (40 kWh),2021,149.112,8.0,Mid-size
Nissan,LEAF S PLUS,2021,225.53189999999998,11.0,Mid-size
Nissan,LEAF SV/SL PLUS,2021,216.8337,11.0,Mid-size
Polestar,2,2021,232.98749999999998,8.0,Mid-size
Porsche,Taycan 4 Cross Turismo,2021,214.9698,10.5,Mid-size
Porsche,Taycan 4S (Performance Battery),2021,198.81599999999997,9.5,Compact
Porsche,Taycan 4S (Performance Battery Plus),2021,226.7745,10.5,Compact
Porsche,Taycan 4S Cross Turismo,2021,214.9698,10.5,Mid-size
Porsche,Taycan Turbo,2021,211.86329999999998,10.5,Compact
Porsche,Taycan Turbo Cross Turismo,2021,203.7864,10.5,Mid-size
Porsche,Taycan Turbo S,2021,200.67989999999998,10.5,Compact
Porsche,Taycan Turbo S Cross Turismo,2021,201.92249999999999,10.5,Mid-size
Tesla,Model 3 Standard Range,2021,93.8163,3.7,Mid-size
Tesla,Model 3 Standard Range Plus,2021,262.80989999999997,8.5,Mid-size
Tesla,Model 3 Long Range AWD,2021,352.8984,10.0,Mid-size
Tesla,Model 3 Performance,2021,314.9991,10.0,Mid-size
Tesla,Model S Long Range,2021,405.08759999999995,15.0,Full-size
Tesla,Model S Long Range Plus,2021,390.79769999999996,12.0,Full-size
Tesla,"Model S Performance (19"" Wheels)",2021,387.06989999999996,12.0,Full-size
Tesla,"Model S Performance (21"" Wheels)",2021,334.25939999999997,12.0,Full-size
Tesla,"Model S Plaid (19"" Wheels)",2021,395.7681,15.0,Full-size
Tesla,"Model S Plaid (21"" Wheels)",2021,347.928,15.0,Full-size
Tesla,Model X Long Range,2021,347.928,14.0,Sport utility vehicle: Standard
Tesla,Model X Long Range Plus,2021,370.9161,12.0,Sport utility vehicle: Standard
Tesla,"Model X Performance (20"" Wheels)",2021,341.09369999999996,12.0,Sport utility vehicle: Standard
Tesla,"Model X Performance (22"" Wheels)",2021,300.0879,12.0,Sport utility vehicle: Standard
Tesla,Model Y Standard Range,2021,244.1709,8.0,Sport utility vehicle: Small
Tesla,Model Y Long Range AWD,2021,326.1825,10.0,Sport utility vehicle: Small
Tesla,Model Y Performance,2021,303.1944,10.0,Sport utility vehicle: Small
Volkswagen,ID.4 Pro,2021,248.51999999999998,7.5,Sport utility vehicle: Small
Volkswagen,ID.4 AWD Pro,2021,239.8218,7.5,Sport utility vehicle: Small
Volvo,XC40 Recharge,2021,208.13549999999998,8.0,Sport utility vehicle: Small
Audi,e-tron 55 quattro,2022,221.80409999999998,10.0,Sport utility vehicle: Standard
Audi,e-tron Sportback 55 quattro,2022,218.07629999999997,10.0,Sport utility vehicle: Standard
Audi,"e-tron S Sportback quattro (20"" Wheels)",2022,211.86329999999998,10.0,Sport utility vehicle: Standard
Audi,"e-tron S Sportback quattro (21"" or 22"" Wheels)",2022,185.14739999999998,10.0,Sport utility vehicle: Standard
Audi,e-tron GT,2022,237.9579,10.5,Compact
Audi,RS e-tron GT,2022,231.74489999999997,10.5,Compact
Audi,Q4 50 e-tron quattro,2022,241.06439999999998,9.0,Sport utility vehicle: Small
Audi,Q4 50 e-tron Sportback quattro,2022,241.06439999999998,9.0,Sport utility vehicle: Small
BMW,"i4 eDrive40 (18"" Wheels)",2022,300.7092,10.0,Subcompact
BMW,"i4 eDrive40 (19"" Wheels)",2022,282.0702,10.0,Subcompact
BMW,"i4 M50 xDrive (19"" Wheels)",2022,270.2655,10.0,Subcompact
BMW,"i4 M50 xDrive (20"" Wheels)",2022,226.7745,10.0,Subcompact
BMW,"iX xDrive50 (20"" Wheels)",2022,323.6973,12.0,Sport utility vehicle: Standard
BMW,"iX xDrive50 (21"" Wheels)",2022,305.0583,12.0,Sport utility vehicle: Standard
BMW,"iX xDrive50 (22"" Wheels)",2022,314.9991,12.0,Sport utility vehicle: Standard
Chevrolet,Bolt EUV,2022,246.65609999999998,7.5,Station wagon: Small
Chevrolet,Bolt EV,2022,259.08209999999997,7.5,Station wagon: Small
Ford,F-150 Lightning Standard Range,2022,229.881,11.8,Pickup truck: Standard
Ford,F-150 Lightning Extended Range,2022,319.9695,10.1,Pickup truck: Standard
Ford,F-150 Lightning Platinum,2022,300.0879,9.3,Pickup truck: Standard
Ford,Mustang Mach-E Standard Range,2022,246.65609999999998,8.1,Sport utility vehicle: Small
Ford,Mustang Mach-E Standard Range AWD,2022,223.66799999999998,8.0,Sport utility vehicle: Small
Ford,Mustang Mach-E Extended Range,2022,303.1944,10.9,Sport utility vehicle: Small
Ford,Mustang Mach-E Extended Range AWD,2022,277.09979999999996,10.7,Sport utility vehicle: Small
Ford,Mustang Mach-E California Route 1,2022,313.75649999999996,11.4,Sport utility vehicle: Small
Ford,Mustang Mach-E California Route 1 AWD,2022,311.89259999999996,10.1,Sport utility vehicle: Small
Ford,Mustang Mach-E GT Performance Edition,2022,259.7034,10.1,Sport utility vehicle: Small
Hyundai,IONIQ 5 Standard Range,2022,219.94019999999998,6.3,Full-size
Hyundai,IONIQ 5 Long Range,2022,303.1944,8.5,Full-size
Hyundai,IONIQ 5 Long Range AWD,2022,257.21819999999997,8.5,Full-size
Hyundai,Kona Electric,2022,257.8395,9.5,Sport utility vehicle: Small
Jaguar,I-PACE,2022,221.80409999999998,13.0,Sport utility vehicle: Small
Kia,EV6 Standard Range,2022,231.74489999999997,6.3,Station wagon: Small
Kia,EV6 Long Range,2022,310.02869999999996,8.7,Station wagon: Small
Kia,EV6 Long Range AWD,2022,273.9933,8.4,Station wagon: Small
Kia,Niro EV,2022,239.20049999999998,9.5,Station wagon: Small
Kia,Soul EV (120 Ah),2022,154.08239999999998,6.0,Station wagon: Small
Kia,Soul EV (180 Ah),2022,237.9579,9.5,Station wagon: Small
Lucid,"Air Dream P AWD (19"" Wheels)",2022,470.94539999999995,13.0,Full-size
Lucid,"Air Dream P AWD (21"" Wheels)",2022,451.06379999999996,13.0,Full-size
Lucid,"Air Dream R AWD (19"" Wheels)",2022,520.0281,13.0,Full-size
Lucid,"Air Dream R AWD (21"" Wheels)",2022,480.8862,13.0,Full-size
Lucid,"Air Grand Touring AWD (19"" Wheels)",2022,515.679,13.0,Full-size
Lucid,"Air Grand Touring AWD (21"" Wheels)",2022,469.08149999999995,13.0,Full-size
Mazda,MX-30,2022,100.02929999999999,5.3,Mid-size
Mercedes-Benz,EQB 350 4MATIC SUV,2022,226.7745,7.5,Sport utility vehicle: Small
Mercedes-Benz,EQS 580 4MATIC Sedan,2022,339.8511,11.25,Full-size
MINI,Cooper SE 3 Door,2022,113.69789999999999,4.0,Subcompact
Nissan,LEAF (40 kWh),2022,149.112,8.0,Mid-size
Nissan,LEAF S PLUS,2022,225.53189999999998,11.0,Mid-size
Nissan,LEAF SV/SL PLUS,2022,216.8337,11.0,Mid-size
Polestar,2 Single Motor,2022,270.2655,8.0,Mid-size
Polestar,2 Dual Motor,2022,249.14129999999997,8.0,Mid-size
Porsche,Taycan 4 Cross Turismo,2022,214.9698,10.5,Mid-size
Porsche,Taycan 4S (Performance Battery),2022,198.81599999999997,9.5,Compact
Porsche,Taycan 4S (Performance Battery Plus),2022,226.7745,10.5,Compact
Porsche,Taycan 4S Cross Turismo,2022,214.9698,10.5,Mid-size
Porsche,Taycan GTS,2022,246.0348,10.5,Compact
Porsche,Taycan GTS Sport Turismo,2022,232.98749999999998,10.5,Compact
Porsche,Taycan Turbo,2022,211.86329999999998,10.5,Compact
Porsche,Taycan Turbo Cross Turismo,2022,203.7864,10.5,Mid-size
Porsche,Taycan Turbo S,2022,200.67989999999998,10.5,Compact
Porsche,Taycan Turbo S Cross Turismo,2022,201.92249999999999,10.5,Mid-size
Rivian,R1S,2022,316.2417,13.0,Sport utility vehicle: Standard
Rivian,R1T,2022,313.75649999999996,13.0,Pickup truck: Standard
Tesla,Model 3 Standard Range,2022,90.7098,3.7,Mid-size
Tesla,Model 3 RWD,2022,272.1294,8.5,Mid-size
Tesla,Model 3 Long Range AWD,2022,357.86879999999996,10.0,Mid-size
Tesla,Model 3 Performance,2022,314.9991,10.0,Mid-size
Tesla,Model S,2022,405.08759999999995,15.0,Full-size
Tesla,"Model S Plaid (19"" Wheels)",2022,395.7681,15.0,Full-size
Tesla,"Model S Plaid (21"" Wheels)",2022,347.928,15.0,Full-size
Tesla,Model X,2022,347.928,14.0,Sport utility vehicle: Standard
Tesla,"Model X Plaid (20"" Wheels)",2022,333.0168,14.0,Sport utility vehicle: Standard
Tesla,"Model X Plaid (22"" Wheels)",2022,310.65,14.0,Sport utility vehicle: Standard
Tesla,Model Y AWD,2022,278.96369999999996,9.0,Sport utility vehicle: Small
Tesla,Model Y Long Range AWD,2022,329.9103,10.0,Sport utility vehicle: Small
Tesla,Model Y Performance,2022,303.1944,10.0,Sport utility vehicle: Small
Volkswagen,ID.4 Pro,2022,262.1886,7.5,Sport utility vehicle: Small
Volkswagen,ID.4 AWD Pro,2022,244.79219999999998,7.5,Sport utility vehicle: Small
Volvo,C40 Recharge Twin,2022,226.1532,8.0,Sport utility vehicle: Small
Volvo,XC40 Recharge Twin,2022,223.0467,8.0,Sport utility vehicle: Small
Audi,e-tron 55 quattro,2023,226.1532,10.0,Sport utility vehicle: Standard
Audi,e-tron Sportback 55 quattro,2023,224.9106,10.0,Sport utility vehicle: Standard
Audi,e-tron GT,2023,237.9579,10.5,Compact
Audi,RS e-tron GT,2023,231.74489999999997,10.5,Compact
Audi,Q4 50 e-tron quattro,2023,236.094,9.0,Sport utility vehicle: Small
Audi,Q4 Sportback 50 e-tron quattro,2023,241.6857,9.0,Sport utility vehicle: Small
BMW,"i4 eDrive35 Gran Coupe (18"" Wheels)",2023,255.9756,8.0,Subcompact
BMW,"i4 eDrive35 Gran Coupe (19"" Wheels)",2023,234.85139999999998,8.0,Subcompact
BMW,"i4 eDrive40 Gran Coupe (18"" Wheels)",2023,300.7092,10.0,Subcompact
BMW,"i4 eDrive40 Gran Coupe (19"" Wheels)",2023,282.0702,10.0,Subcompact
BMW,"i4 M50 Gran Coupe (19"" Wheels)",2023,270.8868,10.0,Subcompact
BMW,"i4 M50 Gran Coupe (20"" Wheels)",2023,226.7745,10.0,Subcompact
BMW,"i7 xDrive60 (19"" Wheels)",2023,318.1056,12.0,Full-size
BMW,"i7 xDrive60 (20"" Wheels)",2023,295.73879999999997,12.0,Full-size
BMW,"i7 xDrive60 (21"" Wheels)",2023,308.16479999999996,12.0,Full-size
BMW,"iX xDrive40 (20"" Wheels) ",2023,200.05859999999998,8.0,Sport utility vehicle: Standard
BMW,"iX xDrive40 (21"" Wheels) ",2023,200.05859999999998,8.0,Sport utility vehicle: Standard
BMW,"iX xDrive40 (22"" Wheels) ",2023,198.81599999999997,8.0,Sport utility vehicle: Standard
BMW,"iX xDrive50 (20"" Wheels)",2023,323.6973,12.0,Sport utility vehicle: Standard
BMW,"iX xDrive50 (21"" Wheels)",2023,308.16479999999996,12.0,Sport utility vehicle: Standard
BMW,"iX xDrive50 (22"" Wheels)",2023,318.1056,12.0,Sport utility vehicle: Standard
BMW,"iX M60 (21"" Wheels)",2023,287.6619,12.0,Sport utility vehicle: Standard
BMW,"iX M60 (22"" Wheels)",2023,273.9933,12.0,Sport utility vehicle: Standard
Cadillac,LYRIQ,2023,311.89259999999996,6.5,Sport utility vehicle: Small
Cadillac,LYRIQ AWD,2023,306.9222,10.7,Sport utility vehicle: Small
Chevrolet,Bolt EUV,2023,246.65609999999998,7.5,Station wagon: Small
Chevrolet,Bolt EV,2023,259.08209999999997,7.5,Station wagon: Small
Fisker,Ocean Extreme/One,2023,359.73269999999997,18.0,Sport utility vehicle: Standard
Fisker,Ocean Ultra,2023,349.7919,18.0,Sport utility vehicle: Standard
Ford,F-150 Lightning Standard Range,2023,239.8218,11.9,Pickup truck: Standard
Ford,F-150 Lightning Extended Range,2023,319.9695,10.1,Pickup truck: Standard
Ford,F-150 Lightning Platinum,2023,300.0879,9.3,Pickup truck: Standard
Ford,Mustang Mach-E Standard Range,2023,246.65609999999998,8.1,Sport utility vehicle: Small
Ford,Mustang Mach-E Standard Range (LFP),2023,249.7626,7.4,Sport utility vehicle: Small
Ford,Mustang Mach-E Standard Range AWD,2023,223.66799999999998,8.0,Sport utility vehicle: Small
Ford,Mustang Mach-E Standard Range AWD (LFP),2023,229.881,7.4,Sport utility vehicle: Small
Ford,Mustang Mach-E Extended Range,2023,310.65,10.2,Sport utility vehicle: Small
Ford,Mustang Mach-E Extended Range AWD,2023,290.14709999999997,10.0,Sport utility vehicle: Small
Ford,Mustang Mach-E California Route 1 AWD,2023,311.89259999999996,10.1,Sport utility vehicle: Small
Ford,Mustang Mach-E GT Performance Edition,2023,259.7034,10.1,Sport utility vehicle: Small
Genesis,Electrified G80,2023,282.0702,9.0,Full-size
Genesis,GV60 Advanced AWD,2023,247.8987,7.2,Full-size
Genesis,GV60 Performance AWD,2023,234.85139999999998,7.2,Full-size
Genesis,Electrified GV70,2023,237.9579,7.9,Sport utility vehicle: Small
Hyundai,IONIQ 5 Standard Range,2023,219.94019999999998,6.3,Full-size
Hyundai,IONIQ 5 Long Range,2023,303.1944,8.5,Full-size
Hyundai,IONIQ 5 Long Range AWD,2023,262.1886,8.5,Full-size
Hyundai,IONIQ 6 Standard Range,2023,239.8218,6.1,Mid-size
Hyundai,IONIQ 6 Long Range (18'' Wheels),2023,360.9753,7.5,Mid-size
Hyundai,IONIQ 6 Long Range AWD (18'' Wheels),2023,316.2417,7.5,Mid-size
Hyundai,IONIQ 6 Long Range AWD (20'' Wheels),2023,270.2655,7.5,Mid-size
Hyundai,Kona Electric,2023,257.8395,9.5,Sport utility vehicle: Small
Jaguar,I-PACE,2023,236.71529999999998,13.0,Sport utility vehicle: Small
Kia,EV6 Standard Range,2023,231.74489999999997,6.3,Station wagon: Small
Kia,EV6 Long Range,2023,310.02869999999996,8.7,Station wagon: Small
